,Original Title,media_type,original_language,origin_country,vote_count,vote_average,popularity
110,Alice in Borderland,tv,ja,['JP'],1256,8.206,325.334
111,A Man Called Otto,movie,en,,57,7.368,254.461
112,ONIMAI: I'm Now Your Sister!,tv,ja,['JP'],6,6.3,61.251
113,Tokyo Revengers,tv,ja,['JP'],969,8.596,209.991
114,The Godfather,movie,en,,17323,8.714,110.703
115,Pokémon,tv,ja,['JP'],1343,7.668,184.517
116,Iron Man,movie,en,,23813,7.631,72.182
117,SPY x FAMILY,tv,ja,['JP'],1119,8.691,351.573
118,Gossip Girl,tv,en,['US'],235,7.6,88.724
119,Bank of Dave,movie,en,,2,5.0,68.17
120,The Rig,tv,en,['GB'],42,7.024,65.511
121,The Lord of the Rings: The Fellowship of the Ring,movie,en,,22123,8.393,103.836
122,The Walking Dead,tv,en,['US'],14451,8.111,677.93
123,Battlebox,movie,en,,2,2.0,1.96
124,The Avengers,movie,en,,28069,7.708,125.424
125,Vinland Saga,tv,ja,['JP'],450,8.6,55.822
126,The Rookie,tv,en,['US'],1104,8.209,251.702
127,Tomo-chan Is a Girl!,tv,ja,['JP'],6,7.0,73.753
128,All Quiet on the Western Front,movie,de,,1422,7.776,360.437
129,Scissor Seven,tv,zh,['CN'],509,8.617,100.951
130,Spider-Man: Far from Home,movie,en,,13568,7.472,78.369
131,Hounded,movie,en,,11,5.864,19.821
132,Better Call Saul,tv,en,['US'],3746,8.6,175.39
133,Reborn to Master the Blade: From Hero-King to Extraordinary Squire,tv,ja,['JP'],6,7.667,40.092
134,THE FIRST SLAM DUNK,movie,ja,,11,8.364,78.583
135,Lost & Found,movie,es,,7,7.0,36.504
136,Naruto,tv,ja,['JP'],4939,8.36,189.526
137,Dune,movie,en,,6717,7.761,100.875
138,Kung Fu Panda: The Dragon Knight,tv,en,['US'],135,7.537,100.856
139,Black Panther,movie,en,,20171,7.396,148.908
140,American Horror Story,tv,en,['US'],4930,8.152,176.411
141,Sorry About the Demon,movie,en,,0,0.0,7.007
142,Spider-Man: Homecoming,movie,en,,19526,7.354,115.13
143,My Life as Inukai-san's Dog.,tv,ja,['JP'],4,5.8,40.535
144,The Woman King,movie,en,,1069,7.855,1170.685
145,The Night Owl,movie,ko,,2,8.5,11.472
146,The Makanai: Cooking for the Maiko House,tv,ja,['JP'],5,6.0,37.427
147,The Simpsons,tv,en,['US'],8552,7.981,435.119
148,Whina,movie,en,,1,10.0,2.43
149,The Lord of the Rings: The Rings of Power,tv,en,['US'],1804,7.525,397.389
150,Meet Yourself,tv,zh,['CN'],4,6.5,279.08
151,Love Island,tv,en,['GB'],98,6.0,18.512
152,Demon Slayer: Kimetsu no Yaiba,tv,ja,['JP'],4684,8.707,77.181
153,The Lord of the Skies,tv,es,['MX'],2261,7.8,1110.164
154,Gannibal,tv,ja,['JP'],7,7.7,44.06
155,Star Wars: Andor,tv,en,['US'],521,8.205,184.36
156,The Witcher: Blood Origin,tv,en,['US'],343,6.962,667.135
157,New Amsterdam,tv,en,['US'],816,8.5,187.427
158,Minions: The Rise of Gru,movie,en,,2523,7.489,328.542
159,Dragon Ball Z,tv,ja,['JP'],3700,8.321,236.946
160,X,movie,en,,1571,6.784,171.574
161,"BOFURI: I Don’t Want to Get Hurt, so I’ll Max Out My Defense.",tv,ja,['JP'],61,7.4,48.345
162,Ginny & Georgia,tv,en,['US'],1093,8.092,456.609
163,Spider-Man,movie,en,,16617,7.257,73.043
164,The Chemistry of Death,tv,en,['GB'],0,0.0,38.937
165,She Said,movie,en,,178,7.298,75.595
166,Smile,movie,en,,1486,6.843,472.075
167,Kompromat,movie,fr,,82,6.4,13.192
168,Godfather of Harlem,tv,en,['US'],432,8.1,59.128
169,In/Spectre,tv,ja,['JP'],153,8.0,53.773
170,Chicago Fire,tv,en,['US'],1873,8.4,258.365
171,Rick and Morty,tv,en,['US'],7773,8.728,607.099
172,Noise,movie,es,,11,7.2,134.243
173,Big Sky,tv,en,['US'],189,7.349,117.516
174,Is It Wrong to Try to Pick Up Girls in a Dungeon?,tv,ja,['JP'],168,7.3,6.614
175,Scream,movie,en,,1997,6.7,127.329
176,1923,tv,en,['US'],32,8.6,721.96
177,Battle for Saipan,movie,en,,5,5.8,3.356
178,The White Lotus,tv,en,['US'],365,7.6,76.245
179,The Falling World,movie,en,,1,5.0,2.397
